images,classes,xmls
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_45_40.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_45_40.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 13_52_29.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 13_52_29.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 14_13_50.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 14_13_50.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.20 15_08_14.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.20 15_08_14.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 08_55_05.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 08_55_05.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 15_13_53.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 15_13_53.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 09_47_15.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 09_47_15.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 10_08_59.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 10_08_59.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 13_37_56.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 13_37_56.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_27_05.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_27_05.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.16 09_42_16.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.16 09_42_16.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.20 15_26_41.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.20 15_26_41.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 15_55_51.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 15_55_51.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 10_13_00.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 10_13_00.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 08_58_13.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 08_58_13.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 15_52_33.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 15_52_33.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 14_23_10.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 14_23_10.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 09_36_07.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 09_36_07.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 14_42_14.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 14_42_14.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 16_13_34.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 16_13_34.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 14_41_52.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 14_41_52.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_12_59.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_12_59.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 08_45_26.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 08_45_26.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_44_54.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_44_54.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_06_31.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 10_06_31.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 10_15_26.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.22 10_15_26.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_04_19.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 09_04_19.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.26 08_59_21.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.26 08_59_21.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 14_09_20.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 14_09_20.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 15_51_07.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 15_51_07.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 09_08_29.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 09_08_29.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.16 10_28_17.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.16 10_28_17.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 09_03_41.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.22 09_03_41.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.13 14_49_38.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.13 14_49_38.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 15_53_18.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 15_53_18.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 15_53_26.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 15_53_26.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 14_02_49.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 14_02_49.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 08_42_58.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 08_42_58.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.20 14_26_32.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.20 14_26_32.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 08_42_14.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 08_42_14.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.19 15_17_31.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.19 15_17_31.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.20 14_26_09.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.20 14_26_09.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 09_01_32.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 09_01_32.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 14_03_12.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.17 14_03_12.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 09_08_23.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.27 09_08_23.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 10_24_19.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 10_24_19.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 08_48_21.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 08_48_21.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.19 13_48_53.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.19 13_48_53.xml
../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 08_38_27.jpg,缺经,../data/xuelang_round1_train_part3_20180709/缺经/J01_2018.06.23 08_38_27.xml
../data/xuelang_round1_train_part3_20180709/织入/J01_2018.06.17 14_23_00.jpg,织入,../data/xuelang_round1_train_part3_20180709/织入/J01_2018.06.17 14_23_00.xml
../data/xuelang_round1_train_part3_20180709/粗纱/J01_2018.06.25 14_53_38.jpg,粗纱,../data/xuelang_round1_train_part3_20180709/粗纱/J01_2018.06.25 14_53_38.xml
../data/xuelang_round1_train_part3_20180709/粗纱/J01_2018.06.22 09_03_24.jpg,粗纱,../data/xuelang_round1_train_part3_20180709/粗纱/J01_2018.06.22 09_03_24.xml
../data/xuelang_round1_train_part3_20180709/油渍/J01_2018.06.20 15_22_10.jpg,油渍,../data/xuelang_round1_train_part3_20180709/油渍/J01_2018.06.20 15_22_10.xml
../data/xuelang_round1_train_part3_20180709/油渍/J01_2018.06.17 13_56_56.jpg,油渍,../data/xuelang_round1_train_part3_20180709/油渍/J01_2018.06.17 13_56_56.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.27 10_17_16.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.27 10_17_16.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.27 15_04_21.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.27 15_04_21.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 13_34_19.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 13_34_19.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.26 15_17_43.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.26 15_17_43.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 09_43_45.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 09_43_45.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 14_23_57.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 14_23_57.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 13_54_48.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 13_54_48.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.25 14_57_28.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.25 14_57_28.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 09_10_55.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.19 09_10_55.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 09_34_10.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.17 09_34_10.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.22 10_19_33.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.22 10_19_33.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.26 13_51_45.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.26 13_51_45.xml
../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.25 10_27_33.jpg,毛洞,../data/xuelang_round1_train_part3_20180709/毛洞/J01_2018.06.25 10_27_33.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.17 13_11_37.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.17 13_11_37.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 13_43_20.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 13_43_20.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.20 14_47_31.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.20 14_47_31.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.17 13_14_44.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.17 13_14_44.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.20 14_59_17.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.20 14_59_17.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.22 10_33_59.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.22 10_33_59.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.22 10_25_50.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.22 10_25_50.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 13_47_07.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 13_47_07.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 14_41_02.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.26 14_41_02.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.25 15_26_02.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.25 15_26_02.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.16 09_31_03.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.16 09_31_03.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.27 13_43_12.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.27 13_43_12.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.27 08_56_13.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.27 08_56_13.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.19 14_18_31.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.19 14_18_31.xml
../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.23 09_44_34.jpg,织稀,../data/xuelang_round1_train_part3_20180709/织稀/J01_2018.06.23 09_44_34.xml
../data/xuelang_round1_train_part3_20180709/明嵌线/J01_2018.06.19 13_41_55.jpg,明嵌线,../data/xuelang_round1_train_part3_20180709/明嵌线/J01_2018.06.19 13_41_55.xml
../data/xuelang_round1_train_part3_20180709/嵌结/J01_2018.06.28 14_00_18.jpg,嵌结,../data/xuelang_round1_train_part3_20180709/嵌结/J01_2018.06.28 14_00_18.xml
../data/xuelang_round1_train_part3_20180709/嵌结/J01_2018.06.17 15_54_56.jpg,嵌结,../data/xuelang_round1_train_part3_20180709/嵌结/J01_2018.06.17 15_54_56.xml
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 13_26_09.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_53_45.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 10_10_48.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 09_59_14.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 08_58_36.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_44_14.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_28_04.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 10_02_03.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 10_15_12.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 15_07_49.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 14_01_22.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 15_42_19.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 14_56_43.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 09_23_40.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.16 10_17_40.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_55_55.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 09_37_42.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_26_26.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 15_42_11.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.22 15_30_16.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_12_55.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 13_30_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_45_25.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 13_37_58.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 14_50_21.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 13_35_04.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 13_23_20.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.16 08_59_35.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 10_09_04.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 13_52_24.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 10_38_39.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 09_00_00.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 14_05_18.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_12_21.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 14_18_27.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 08_56_54.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 14_28_39.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 13_22_51.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 10_40_36.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 09_56_44.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 09_19_59.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 10_31_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_58_30.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 14_01_44.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 13_25_09.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 09_23_42.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.22 09_08_13.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 09_32_27.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 15_41_41.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_22_12.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 15_07_30.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 10_10_50.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.16 09_18_33.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 15_55_10.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 13_31_37.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 15_03_18.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 15_18_11.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 09_15_32.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_55_28.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_27_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_49_34.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.22 09_33_48.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.22 15_12_32.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 13_18_02.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 10_16_32.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 08_55_25.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 10_10_42.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 13_49_17.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_58_24.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 09_36_52.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 15_05_04.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 13_27_30.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.22 13_57_36.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_48_09.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.20 14_41_51.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 09_41_39.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 14_54_57.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 08_48_29.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 13_48_34.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 15_12_16.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 09_02_38.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 14_04_38.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 14_15_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 08_57_02.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.19 15_38_46.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 13_19_50.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_52_16.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.16 10_48_01.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.17 14_10_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 13_36_57.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 09_34_00.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_10_26.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 13_50_52.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 15_30_03.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 08_43_18.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 13_51_58.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 09_04_21.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 13_56_08.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 09_38_51.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.26 15_44_48.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.23 09_01_49.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.28 13_38_17.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.27 08_44_23.jpg,正常,0
../data/xuelang_round1_train_part3_20180709/正常/J01_2018.06.25 14_52_35.jpg,正常,0
